genesymbol	B2	B4	B3	B1
TSPAN6	717	620	731	613
DPM1	828	926	755	741
SCYL3	257	313	235	270
C1orf112	234	325	264	281
FGR	11	6	3	4
CFH	19	27	21	25
FUCA2	1880	2114	1982	1958
GCLC	652	1017	672	1000
NFYA	682	580	679	526
STPG1	452	357	421	278
NIPAL3	2074	2311	2044	2239
LAS1L	752	985	839	888
ENPP4	77	85	53	110
SEMA3F	2299	1999	2025	2098
ANKIB1	1838	1512	2098	1572
CYP51A1	242	242	299	336
KRIT1	660	825	755	760
RAD52	132	150	83	120
MYH16	179	64	145	51
BAD	1117	1296	1011	1032
LAP3	823	1223	998	1095
CD99	4728	4255	4842	3656
HS3ST1	51	57	51	57
AOC1	172	83	136	87
HECW1	38	16	93	19
MAD1L1	785	781	721	677
LASP1	8239	8958	8543	8411
SNX11	523	635	462	491
M6PR	1304	1471	1441	1399
CYP26B1	364	248	301	219
ICA1	633	820	678	721
DBNDD1	1066	1016	910	934
ALS2	607	514	697	643
CASP10	103	123	113	151
CFLAR	1522	1450	1442	1477
TFPI	15	22	6	9
NDUFAF7	232	215	230	242
RBM5	1770	1572	1585	1719
SLC7A2	12	7	13	16
ARF5	2101	1998	2200	1899
SARM1	15	5	9	9
POLDIP2	2155	3077	2303	2853
PLXND1	535	406	587	455
AK2	1685	2439	1773	2123
FKBP4	3523	5010	3276	4145
KDM1A	7537	3785	6444	3182
RBM6	1021	1039	996	942
CAMKK1	177	215	181	213
RECQL	816	771	1018	704
VPS50	617	642	651	604
ARHGAP33	259	250	224	316
NDUFAB1	1323	1838	1425	1501
PDK4	1691	2035	1040	1763
ZMYND10	14	12	4	4
ARX	13	15	11	17
SLC25A13	1030	889	1108	886
ST7	341	428	298	356
CDC27	976	1060	1091	952
HCCS	688	927	718	762
DVL2	813	796	753	871
PRSS22	606	490	407	599
UPF1	2356	2164	2150	2250
SKAP2	1495	1572	1679	1554
SLC25A5	5422	9110	5945	7502
MCUB	371	352	385	371
HOXA11	28	25	24	18
POLR2J	708	776	689	630
DHX33	590	625	623	653
LIG3	407	517	408	568
RPAP3	396	542	446	438
ACSM3	14	14	7	8
REXO5	96	231	135	184
CIAPIN1	1597	1623	1623	1439
SPPL2B	773	535	663	720
FAM214B	2014	1274	1946	1210
COPZ2	31	44	62	20
PRKAR2B	161	321	68	288
MSL3	520	502	541	451
CREBBP	1465	1200	1388	1421
TSPOAP1	2	5	6	2
GCFC2	60	74	70	85
WDR54	169	193	201	192
CROT	352	453	385	385
KMT2E	1419	1232	1272	1340
RHBDD2	1831	1800	1780	1704
IBTK	890	1065	1008	952
ZNF195	340	353	314	310
MYCBP2	820	736	796	728
FBXL3	533	627	580	476
PDK2	458	460	435	451
ITGA3	9245	8990	9828	9534
ZFX	588	478	498	495
LAMP2	3009	2521	2973	2191
ITGA2B	5	2	4	6
ASB4	8	6	3	12
GDE1	3400	3736	3197	3376
REX1BD	445	446	337	456
CRLF1	177	72	164	81
OSBPL7	1155	779	857	852
